Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,77.0887,108.148,2898.39,61.4558,2287
0,231.846,41.7302,7982.03,93.8066,14
0,234.081,176.844,5539.5,20.4359,2
0,134.286,105.492,8159.11,48.0985,7
0,6.31403,207.478,5212.12,3.87478,73
0,78.6021,230.941,6835.29,2.44647,5
0,29.4806,198.345,7988.64,38.0801,36
0,121.628,173.092,4797.77,54.2877,2
0,184.421,66.6137,1233.39,45.5193,2
0,87.898,146.409,6199.31,46.4956,2
0,189.411,86.3341,7223.53,34.0284,1579
0,175.892,234.693,6478.72,14.5036,71
0,240.334,197.963,2364.98,62.5506,2
0,137.797,247.755,6696.72,38.7299,4
0,136.292,141.077,3934.47,46.5867,4
0,226.634,15.5761,2932.6,32.6901,2
0,108.438,209.28,6109.01,80.3563,5
0,187.345,177.892,6930.92,46.0953,2
0,135.901,232.291,4330.59,85.0201,6
0,140.269,59.9531,6997.28,48.4427,8
1,164.84,73.1436,7110.41,37.6009,5917
1,137.006,100.515,5465.88,47.5147,150
1,163.209,93.4245,6130.88,40.7715,1172
1,148.76,212.638,5163.86,34.3957,4
1,75.5542,185.719,6659.73,46.1839,970
1,150.566,107.11,5522.44,42.3456,9
1,120.584,120.832,6885.07,41.8924,0
1,152.276,152.717,5459.89,61.3105,2912
1,133.25,97.241,5179.69,47.7421,2684
1,117.176,129.431,6885.07,41.8924,2889
1,131.45,181.805,6795.33,48.4023,935
1,138.28,100.515,5942.65,48.8771,7
1,132.35,139.523,5847.43,48.0722,1
1,77.0887,108.148,2898.39,61.4558,2287
1,164.024,83.284,6278.26,39.1862,2
1,132.35,150.356,5987.51,48.0722,384
1,96.4329,118.79,4891.73,51.6741,2
1,131.45,181.805,6795.33,42.9014,3
1,164.84,73.1436,7110.41,38.1831,2236
1,114.683,128.819,4179.14,61.3831,5354
2,136.881,166.671,6402.12,51.5468,58783
2,164.84,73.1436,7110.41,37.6009,5917
2,119.682,113.336,6032.38,44.8172,47099
2,142.313,151.537,5609.9,54.6913,1721
2,113.064,155.618,6840.2,45.9425,5179
2,114.683,128.819,4179.14,61.6542,5354
2,130.998,132.436,6065.63,49.7543,4
2,104.97,110.742,4465.38,53.1365,1
2,123.516,151.519,5083.32,55.0754,1
2,117.197,135.163,5250.82,55.6158,5102
2,146.894,119.907,6756.26,44.5738,3
2,113.064,159.646,6840.2,45.9425,21
2,134.616,153.097,6124.78,51.7245,4
2,116.501,129.252,4442.95,54.764,2
2,150.861,119.907,6873.61,44.5738,7
2,123.516,139.588,5083.32,50.9556,4
2,139.761,102.271,5644.77,49.7831,695
2,127.689,155.591,6225.05,52.9371,568
2,140.67,101.198,5776.68,50.3092,16
2,136.881,166.671,6402.12,46.6308,5
3,119.828,157.249,5400.15,56.8396,1730032
3,130.954,139.067,6352.41,48.7555,1
3,124.973,161.145,6621.16,52.0251,7
3,139.761,103.259,5644.77,49.7831,2
3,136.881,166.671,6402.12,51.5468,58783
3,129.066,155.367,5604.05,53.3999,6
3,135.557,150.917,5826.47,53.5813,2
3,141.168,119.211,5738.33,52.6994,1142
3,143.328,111.089,6164.9,47.1785,2
3,121.846,137.375,5167.07,57.2627,3
3,133.725,120.662,5934.91,51.3601,25
3,132.136,152.342,6747.38,48.2995,1445
3,140.464,109.745,5691.55,51.2413,1
3,139.024,142.941,5709.37,52.1944,207
3,137.198,110.93,5855.79,53.6167,1
3,143.447,152.342,7044.33,48.2995,5
3,136.723,168.793,6313.59,49.7839,2
3,132.931,136.502,6341.15,52.5746,0
3,136.403,136.178,6262.03,49.3043,0
3,140.464,103.842,5691.55,51.2413,3
4,119.828,157.249,5400.15,56.8396,1730032
4,130.927,163.908,6511.64,47.858,1193
4,132.326,142.285,6664.32,49.609,4495
4,139.024,143.735,5709.37,52.1944,10
4,128.354,161.96,5820.87,54.1932,9
4,140.096,131.473,5650.81,49.0831,2
4,139.56,144.485,6169.05,50.6388,19731
4,140.364,131.848,5695.54,51.6691,1
4,139.744,121.892,5871.12,51.7178,11812
4,130.435,140.158,5438.22,57.457,4416
4,141.993,154.795,6530.57,52.662,7853
4,134.73,130.316,5562.66,56.1617,267
4,140.777,149.64,6349.81,52.4252,4
4,133.579,154.7,5875.9,50.7599,18
4,123.328,160.984,5965.36,54.0092,5
4,137.16,148.54,7081.87,51.1355,2
4,134.73,133.755,5573.8,54.8257,15
4,139.652,120.635,5527.39,51.1783,155
4,137.145,139.12,5871.43,51.3843,31
4,140.289,147.477,5984.39,57.3793,16
5,119.828,157.249,5400.15,56.8396,1730032
5,133.182,156.022,5965.36,54.7508,8
5,135.09,131.025,5654.67,56.7833,0
5,135.09,123.683,5654.67,54.5874,6
5,128.486,148.184,5635.79,53.6528,841
5,128.486,148.184,5635.79,52.8311,5
5,127.279,143.782,5599.69,56.5007,2
5,130.302,153.445,5607.09,54.6324,3
5,133.797,144.349,6260.05,56.4421,215
5,133.608,147.398,6103.13,55.4244,0
5,118.741,152.103,5800.57,53.791,1
5,145.864,140.656,6112.7,55.5964,49
5,133.797,144.349,6260.05,61.2666,2
5,137.508,146.267,5947.92,55.0474,2
5,137.175,144.42,5874.25,50.8435,21
5,129.197,136.369,5663.98,51.8312,68
5,142.758,130.645,5820.05,55.1706,5
5,136.133,134.051,5764.46,53.3136,1
5,128.841,142.277,5649.88,48.4699,1
5,127.459,140.466,5527.41,53.6936,50
6,119.828,157.249,5400.15,56.8396,1730032
6,133.008,149.812,5762.06,46.2048,6
6,132.017,144.42,5874.25,55.2802,4
6,139.931,147.678,5947.92,51.9712,1079
6,131.142,146.267,5947.92,55.4665,3
6,132.665,125.935,5714.22,51.9897,4
6,127.958,148.262,5837.41,51.8072,1579
6,125.922,139.926,5637.2,60.829,759
6,130.878,146.305,6099.87,53.1054,467
6,130.925,139.256,5911.91,43.4819,492
6,144.216,144.977,5798.9,50.2205,18
6,137.547,145.641,5696.18,51.663,167
6,132.503,149.865,5779.07,52.6783,158
6,138.739,135.802,5822.05,51.8171,2875
6,126.691,140.196,5582.3,58.9045,6730
6,123.838,139.726,5747.11,51.1932,3282
6,130.692,142.684,5721.64,55.0783,2
6,138.739,149.34,5822.05,51.8171,5
6,131.967,149.857,5836.99,44.8433,174
6,135.405,146.992,5547.88,52.5383,3
7,119.828,157.249,5400.15,56.8396,1730032
7,129.418,147.283,5621.06,52.4563,3
7,129.88,152.463,5674.03,54.206,3891
7,124.573,139.826,5692.15,56.0111,7
7,133.349,142.032,5829.73,50.5883,16
7,138.36,147.421,6215.05,51.4494,3
7,133.713,157.606,5685.11,52.9345,0
7,127.901,146.195,5655.62,57.7243,1
7,130.914,140.644,5870.82,47.0351,2
7,118.907,148.488,5268.91,54.0164,36
7,127.227,158.51,5683.09,55.0047,1
7,127.12,133.961,5763.09,51.6058,3256
7,138.739,135.802,5822.05,50.3268,7574
7,134.716,129.938,5771.85,51.2952,3
7,124.854,162.341,5537.09,53.311,4
7,130.381,149.728,5610.96,51.3466,1436
7,130.13,151.096,5642.49,55.9148,7
7,125.9,151.686,5687.62,55.5079,4
7,114.401,149.64,5614.94,53.7139,3920
7,119.367,152.868,5334.53,52.4623,27
8,119.828,157.249,5400.15,56.8396,1730032
8,113.78,151.052,5644.49,50.1945,3
8,125.104,153.488,5074.37,54.0931,0
8,133.055,142.765,5716.5,50.8367,16
8,122.123,152.277,5511.08,53.9851,2
8,127.492,156.718,5939.99,54.6129,3
8,114.401,149.64,5204.34,53.7139,2
8,127.586,151.298,5472.74,51.9045,22
8,135.854,151.197,5557.62,53.9096,997
8,130.564,149.071,5679.57,52.3852,415
8,136.727,132.87,5796.95,52.5945,1229
8,128.015,151.391,5665.06,57.614,16610
8,131.044,142.13,5381.33,58.4543,7
8,130.472,149.4,5442.59,51.8659,3
8,119.597,158.06,5367.34,54.651,1
8,130.301,150.248,5486.14,53.8904,4
8,126.725,150.185,5576.16,52.1448,5
8,123.921,154.32,5881.95,57.2268,1724
8,127.156,150.741,5608.38,52.0246,4
8,134.454,146.981,5597.62,52.3732,5
9,119.828,157.249,5400.15,56.8396,1730032
9,131.254,154.84,5469.47,56.182,4
9,133.209,150.134,5097.84,53.1474,2
9,125.968,152.855,5729.66,59.5328,210
9,120.672,152.115,4832.98,54.6064,2
9,127.197,174.084,5662.27,54.5464,1455
9,128.88,161.578,5870.39,53.4658,543
9,117.872,152.026,5616.94,56.7212,16
9,129.289,164.34,5672.31,54.9996,486
9,130.612,150.762,5828.73,62.3765,336
9,116.96,152.541,4999.38,59.8016,1484
9,124.354,159.413,5635.27,48.9211,966
9,105.838,162.959,5771.35,54.2327,4
9,138.844,158.254,5498.89,54.6064,1
9,108.665,151.652,5414.05,52.4454,39
9,133.681,153.717,5488.15,54.4922,9
9,128.99,152.512,5522.81,50.6305,5
9,100.084,157.059,4840.45,56.6337,12
9,111.399,141.029,5385.36,48.687,15633
9,130.172,156.17,5849.56,48.9832,2
10,119.828,157.249,5400.15,56.8396,1730032
10,113.881,136.335,5696.6,52.0481,4
10,92.2337,152.541,4414.47,51.2266,377
10,125.775,166.749,5784.43,51.7338,3
10,119.272,152.07,6051.71,55.6638,208
10,122.92,157.059,5353.29,56.6337,4
10,115.335,147.792,5718.54,52.1754,8
10,131.485,159.028,5580.23,61.0335,34
10,115.096,163.291,5703.31,51.5769,15394
10,115.096,161.186,4927.04,51.5769,6
10,118.394,164.95,5199.76,58.3206,3690
10,118.029,158.504,5595.73,53.0346,1
10,126.476,129.963,5769.93,55.078,10
10,107.59,160.175,5476.57,54.1053,2
10,132.612,164.12,5451.54,46.6405,410
10,119.105,179.112,5271.88,54.1053,8949
10,107.488,154.66,5725.93,56.2517,481
10,123.038,152.989,5292.56,53.5038,111
10,127.199,168.181,5336.01,55.4725,0
10,107.488,154.66,5569.4,56.2517,646
11,119.828,157.249,5400.15,56.8396,1730032
11,115.096,182.999,6657.61,51.8947,8
11,124.757,151.623,5531.25,54.2909,6
11,117.22,147.185,5495.21,55.5976,2
11,111.292,158.975,5714.62,57.4481,4
11,112.941,159.805,5958.62,57.2862,7
11,111.292,176.727,5636.35,53.9143,130
11,115.199,169.044,5493.25,47.2947,13070
11,105.435,168.181,4744.74,55.4725,6
11,143.883,159.39,5588.73,51.4461,225
11,123.152,143.606,6365.65,55.9588,1504
11,113.658,155.954,5563.04,53.0743,3
11,119.175,156.325,5109.41,58.4679,0
11,121.49,150.427,5882.9,65.3504,5
11,131.075,157.232,5842.27,56.769,2
11,134.32,155.507,6228.12,52.8685,5
11,107.488,154.66,5218.77,61.9306,1
11,120.207,159.39,5588.73,51.4461,4
11,110.265,174.797,5701.18,53.6836,3
11,124.166,157.232,5764.01,61.0519,3
