Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
7,111.757,152.706,4205.44,54.7036,122
7,110.805,163.594,4645.6,58.387,50
7,111.255,154.626,4434.04,53.703,2777
7,111.92,154.483,4488.8,49.9427,54
7,108.444,155.945,4639.75,55.4735,39
7,111.689,166.508,4456.76,55.5739,50
7,95.8427,155.587,4548.35,51.616,51
7,117.56,149.522,4564.5,51.2514,57
7,121.542,150.501,4422.82,53.6319,465
7,117.544,157.894,4607,50.8823,37
7,114.359,153.132,4618.22,57.118,889
7,117.544,151.813,4607,52.3455,262
7,111.174,157.257,4629.44,53.6843,179
7,114.359,156.529,4618.22,57.118,464
7,115.959,151.327,4591.36,57.2386,43
7,113.221,156.442,4695.19,54.2401,58
7,112.002,144.863,4630.48,52.0226,103
7,116.262,152.982,4629.84,52.7457,51
7,106.701,152.555,4556.42,48.2611,43
8,112.084,156.26,4772.15,54.1024,3787
8,126.808,152.259,4406.22,53.0037,70
8,115.951,154.171,4837.17,54.7317,42
8,112.361,148.272,4526.13,55.4105,56
8,111.838,153.514,4553.51,53.5303,47
8,118.991,154.758,4466.19,53.344,84
8,114.359,154.831,4513.23,57.118,60
8,103.449,152.401,4572.18,56.2642,326
8,110.945,155.545,5047.08,55.6102,90
8,118.459,152.472,4612.61,54.7317,57
8,118.877,153.902,4726.65,54.3442,66
8,115.48,150.368,4749.4,56.0843,49
8,115.075,154.457,4653.9,54.4859,45
8,117.627,153.87,4138.88,53.0449,57
8,109.465,147.941,4660.79,56.1743,783
8,110.774,152.101,4839.02,57.2837,41
8,121.429,153.426,4384.36,52.8953,42
8,115.155,154.501,4415.72,57.596,63
8,117.033,154.608,4662.19,53.9149,99
8,110.538,153.135,4362.42,54.6546,481
9,112.084,156.26,4772.15,54.1024,3787
9,114.5,141.483,4786.61,55.5104,41
9,124.945,154.366,4689.6,54.4171,46
9,113.249,151.274,4661.49,50.5539,55
9,118.309,154.314,4549.73,53.1944,48
9,117.463,156.934,4526.01,54.5358,1849
9,113.786,153.871,4954.34,54.2848,43
9,106.617,155.035,4444.21,54.5952,40
9,112.084,146.991,4772.15,54.1024,509
9,115.854,151.873,4852.18,49.0131,289
9,121.911,154.134,4917.77,54.3806,725
9,119.644,149.133,4716.82,55.6955,110
9,126.99,151.817,4566.27,56.6457,55
9,116.817,154.371,4789.98,54.1478,53
9,106.216,151.274,4661.49,55.0446,48
9,125.009,154.436,4602.85,55.8719,44
9,113.196,152.504,4483.82,47.2321,186
9,106.497,153.556,4830.16,50.5735,59
9,114.063,148.378,4789.63,54.7126,49
9,120.899,152.504,4483.82,50.4576,49
10,112.084,156.26,4772.15,54.1024,3787
10,113.969,163.428,4812.17,51.5577,330
10,123.591,153.126,4584.56,56.2588,361
10,116.997,155.197,4037.13,54.2415,44
10,114.016,155.903,5592.17,53.1352,49
10,117.987,151.256,5629.53,54.5466,44
10,115.035,167.069,5200.84,54.3245,52
10,114.016,155.903,4800.9,59.4469,204
10,113.026,143.859,4792.16,52.8301,269
10,120.777,151.634,5584.79,55.0381,224
10,113.026,151.303,4792.16,60.64,44
10,113.66,131.234,4773.49,53.1345,40
10,115.926,184.386,4995.41,54.2362,1413
10,113.969,163.428,5191.36,51.5577,105
10,103.198,152.38,5084.67,56.9328,43
10,92.7231,164.122,4893.79,53.5331,120
10,95.6183,163.064,5191.36,53.1735,44
10,142.817,152.069,5034.31,52.7478,113
10,135.324,152.191,5107.04,55.4027,48
10,80.0622,174.254,4766.92,53.8846,611
11,112.084,156.26,4772.15,54.1024,3787
11,97.0155,153.865,4789.55,52.7212,3436
11,116.001,169.375,5082.45,53.8409,320
11,106.025,160.467,4995.19,43.9675,66
11,113.521,153.603,4796.53,51.4139,1378
11,121.501,170.323,4300.89,54.1693,78
11,137.796,140.423,5311.55,52.7345,52
11,116.902,147.746,5188.48,49.2197,182
11,105.492,158.647,4084.5,52.1395,286
11,136.982,148.342,5041.85,53.4185,58
11,124.155,155.358,4651.73,52.4437,35
11,97.9941,179.32,4881.17,45.3009,38
11,117.735,166.876,4145.28,52.8635,42
11,119.916,152.967,4911.93,50.9184,283
11,116.573,158.545,4902.86,52.2258,42
11,104.812,155.934,4639.26,51.3764,58
11,116,154.614,4842.04,45.2591,45
11,132.991,154.107,5091.83,46.5936,239
11,118.902,147.72,4865.55,48.985,49
11,106.514,163.292,4536.52,53.1624,98
12,112.084,156.26,4772.15,54.1024,3787
12,119.201,163.128,4744.68,51.6945,43
12,132.965,162.215,5406.51,50.3814,130
12,115.211,125.577,4992.5,50.3168,40
12,116.546,173.56,4770.61,51.5542,38
12,134.359,148.044,5115.17,51.3191,56
12,119.242,141.302,4588.17,49.3665,636
12,112.26,157.29,4361.88,51.7579,41
12,119.229,160.431,4934.81,51.1246,3581
12,108.448,156.097,4705.71,47.6083,1956
12,93.2613,160.291,4449.2,52.4602,83
12,119.74,162.753,5957.64,46.345,107
12,107.037,152.028,5272.9,47.8558,50
12,131.483,152.297,4562.34,48.4346,34
12,111.323,155.129,6214.85,54.874,958
12,112.87,154.063,4989.3,47.732,46
12,115.663,173.359,4680.16,51.7345,193
12,119.215,161.779,5063.72,51.4095,87
12,113.689,158.408,5473.47,47.0385,2743
12,127.049,155.399,5536.4,40.1861,64
13,112.084,156.26,4772.15,54.1024,3787
13,95.351,150.867,4761.49,50.2456,50
13,124.314,167.787,5678.44,51.058,62
13,111.703,155.695,5493.5,48.1171,54
13,115.656,158.346,4187.72,52.6135,38
13,117.439,188.153,4871.94,52.4801,2197
13,102.482,149.217,4971.35,50.2886,67
13,114.676,165.883,5076.82,46.5625,50
13,119.229,160.431,4934.81,48.7991,54
13,117.393,159.35,4961.34,49.7493,50
13,118.327,156.2,4967.83,51.9448,2001
13,114.358,157.239,6462.87,52.3117,64
13,101.194,155.648,5017.2,49.0507,33
13,93.4028,173.751,4916.64,51.1147,441
13,113.221,156.75,5617.51,61.7045,73
13,116.952,163.157,4743.09,47.6808,59
13,119.415,155.902,4824,51.8397,55
13,138.971,157.824,5968.17,49.6751,40
13,119.336,162.513,6070.65,56.9315,50
13,115.71,159.387,5421.4,45.681,1880
14,112.084,156.26,4772.15,54.1024,3787
14,117.867,149.217,5068.84,50.2886,243
14,107.532,158.502,5324.9,50.6733,124
14,116.112,153.228,5765.85,41.9916,36
14,123.687,165.006,4844.4,52.6086,49
14,90.8908,161.317,5347.16,54.1335,48
14,125.527,157.042,5370.16,45.6607,88
14,118.548,154.824,5001.82,55.079,46
14,114.739,157.805,4886.8,51.9259,68
14,132.78,156.651,5071.16,50.0848,1228
14,109.465,165.397,5143.4,45.4319,60
14,103.88,165.495,6451.5,51.7132,63
14,95.7154,161.65,5669.15,51.7511,75
14,107.289,159.78,5095.78,53.371,386
14,115.544,151.802,5343.17,55.9966,842
14,149.128,152.934,5070,50.1867,65
14,132.336,139.982,5206.59,53.0916,47
14,94.4762,158.599,5243.29,50.7142,60
14,130.606,154.597,4921.08,46.9656,39
14,116.408,183.221,5232.97,49.5159,68
15,112.084,156.26,4772.15,54.1024,3787
15,113.666,145.349,5106.12,47.8602,48
15,133.047,160.715,7122.95,52.5611,1701
15,140.732,146.458,4046.41,51.6392,136
15,147.949,172.269,5290.07,51.8247,48
15,124.162,193.51,5207.17,53.0407,51
15,121.256,169.269,6800.38,48.9965,56
15,105.63,156.726,5506.16,71.6053,39
15,122.432,176.428,5932.77,52.0936,112
15,132.149,159.657,6183.12,51.6376,70
15,155.511,158.02,4933.97,53.7367,45
15,177.308,134.048,5031.11,52.9636,153
15,119.719,159.719,4307.44,52.5043,48
15,138.469,158.635,5132.04,51.2397,57
15,118.655,159.128,5713.2,51.1759,42
15,116.161,155.979,5409.66,49.5181,46
15,114.246,169.741,5002.56,33.4651,40
15,135.892,146.324,3815.88,51.8389,46
15,107.99,224.083,5695.14,52.3392,48
15,136.441,153.058,3471.49,51.6384,63
16,112.084,156.26,4772.15,54.1024,3787
16,149.87,155.238,5481.94,32.9436,51
16,112.084,156.26,4772.15,36.5218,57
16,129.796,159.364,4668.24,51.7319,49
16,90.0148,176.073,6381.37,52.1402,44
16,110.037,190.172,5233.65,62.8704,38
16,152.69,156.629,5463.22,43.3402,42
16,141.85,164.743,4702.13,51.866,102
16,126.212,155.533,4259,51.8524,39
16,126.967,160.502,4694,44.1939,1027
16,116.428,156.26,4772.15,54.1024,350
