Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,36.7288,157.806,6574.24,18.2847,3670
0,90.1213,88.8672,2697.15,61.2821,70
0,146.916,49.1079,2520.77,17.5236,30
0,18.1652,33.4938,6148.78,10.5428,34
0,182.586,111.126,8337.06,97.8559,658
0,58.0152,46.0275,3073.51,89.4705,47
0,144.602,222.931,4620.1,77.3869,54
0,111.245,9.43691,5647.95,37.487,25
0,4.39102,21.6134,2733.02,8.89058,16
0,186.536,94.9506,3713.79,82.7155,55
0,106.857,47.0528,2067.1,63.2701,304
0,205.18,177.735,4160.98,1,16
0,114.18,91.8873,5049.39,49.4183,1104
0,25.1284,213.516,4734.28,33.4967,36
0,123.17,74.7706,8848.27,17.129,675
0,34.5148,82.9602,4652.57,9.9994,34
0,235.909,19.5403,300.737,5.25398,0
0,243.244,187.373,2145.66,84.6938,576
0,192.231,60.322,7275.67,28.846,41
0,160.642,121.076,8318.77,45.6649,52
0,243.035,250.216,8254.92,32.944,58
0,242.091,139.469,9388.06,50.784,54
0,75.35,151.505,3694.12,73.4937,40
0,29.04,124.084,7842.92,64.9669,46
0,132.145,215.995,2369.76,93.6747,38
0,40.5695,53.0332,6312.69,21.5812,33
0,124.497,158.978,6635.95,43.2133,52
0,206.58,227.898,6608.21,2.33808,24
0,43.6756,43.0242,8046.51,84.4043,700
0,249.279,104.539,8506.26,26.739,40
1,36.7288,157.806,6574.24,18.2847,3670
1,130.6,141.855,7201.85,19.9758,51
1,212.81,180.671,8295.99,62.8204,51
1,212.81,180.671,8697.35,65.3999,327
1,178.608,170.444,6712.55,41.1812,3449
1,201.943,152.17,5232.22,65.1793,74
1,198.62,137.811,6004.89,72.7679,56
1,118.675,95.5079,6948.83,37.1899,51
1,222.594,169.772,3936.57,71.7442,45
1,142.732,108.489,4389.83,52.2257,628
1,82.4934,72.4603,5920.58,35.4998,45
1,106.547,107.158,6919.72,27.7378,42
1,167.482,84.4055,6134.97,40.5358,51
1,214.702,169.772,3688.94,73.186,142
1,141.906,97.9233,8583.52,34.9856,86
1,107.319,141.475,4180.98,64.5872,965
1,122.134,97.5971,6639.36,74.7918,1445
1,175.282,164.424,3163.32,76.1788,172
1,185.753,175.557,7704.95,53.2906,284
1,167.755,161.263,7949.6,42.6879,62
1,124.613,114.018,6509.16,49.7864,43
1,72.6823,127.701,6606.8,49.1342,53
1,181.502,151.117,4584.1,74.4734,107
1,160.625,138.465,5651.42,50.4619,58
1,124.77,169.238,7635.79,45.4116,39
1,195.709,180.006,7704.95,53.2906,35
1,176.945,167.434,4937.93,61.27,473
1,172.213,125.92,5536.45,51.8406,51
1,91.7202,92.4396,7400.92,48.2132,157
1,102.105,121.106,6658.2,29.4103,62
2,104.471,133.729,5652.84,35.0627,4923
2,132.433,102.734,5514.59,60.5948,35
2,135.164,120.306,7056.73,44.6972,47
2,128.649,113.412,6848.05,59.7445,45
2,134.055,129.824,5594.65,43.4517,55
2,60.0581,125.123,6987.58,33.2489,47
2,131.792,149.076,4630.69,55.6208,67
2,130.221,131.244,5739.37,52.8469,45
2,187.663,152.493,4670.18,61.8239,50
2,112.023,123.245,4887.81,54.0194,51
2,122.006,117.609,8115.14,32.1979,81
2,109.115,154.462,5928.42,46.3791,168
2,144.945,129.43,7294.48,57.0622,247
2,36.7288,157.806,6574.24,18.2847,3670
2,167.755,161.263,7719.45,42.6879,63
2,172.666,143.591,6627.95,47.2643,42
2,154.899,125.045,5654.77,66.03,63
2,142.986,144.879,5118.47,54.768,40
2,83.4747,141.898,6156.8,34.8389,56
2,161.327,143.154,6802.18,54.9943,43
2,151.46,140.785,7324.91,43.6925,38
2,106.25,134.533,5790.63,40.7209,597
2,114.128,126.071,6915.79,36.4594,49
2,131.967,109.18,6201.3,48.6404,53
