Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
6,147.429,22.8539,1926.8,52.0587,20265
6,142.65,30.9369,1515.54,46.0271,3
6,157.693,29.4978,1359.82,43.3864,7
6,159.269,20.3825,1142.59,47.523,24092
6,150.983,40.3231,1341.1,50.2645,39
6,151.949,26.485,1575.96,47.7159,4349
7,148.109,31.1496,1377.99,50.025,26037
7,150.029,28.8173,1835.5,48.8704,7700
7,147.769,27.0018,1652.4,47.8836,21572
7,154.011,30.3528,1241.85,48.8938,21955
7,157.413,28.0204,1366.58,48.8388,9780
7,151.06,30.7512,1713.75,49.4594,20849
7,147.769,21.9037,1652.4,51.0418,22251
7,157.717,36.4385,1490.21,51.8851,15113
7,143.215,37.9907,1312.64,48.6793,24977
7,149.588,41.933,1320.33,49.3473,990
7,154.35,38.3808,1415.66,49.6786,11211
7,152.743,29.1711,1571.3,47.8622,5422
7,147.939,26.5266,1515.19,51.2449,25588
7,148.109,31.1496,1377.99,45.7308,40
7,152.421,19.4556,1646.69,50.4487,20548
7,140.017,29.9472,1482.52,53.1324,131
7,153.149,21.282,1495.81,48.7865,21611
7,147.818,18.1041,1479.67,49.564,23931
7,159.731,35.6067,1392.59,49.4627,14302
7,151.473,36.979,1352.61,52.9995,23022
8,148.109,31.1496,1377.99,50.025,26037
8,149.033,22.9911,1580.94,50.8468,25003
8,154.443,32.4997,968.393,50.9192,21941
8,147.7,34.5701,1345.32,49.3521,18723
8,135.025,40.5635,1312.64,48.6793,20555
8,149.414,26.3274,1185.57,50.2506,17616
8,147.344,37.4848,1250.75,47.2382,15415
8,161.657,32.4537,1465.43,50.4617,278
8,138.533,28.7806,1463.13,50.0995,1238
8,140.817,29.4136,1386.35,47.6606,3542
8,151.692,30.686,1498.3,53.117,57
8,141.567,35.8566,1345.32,51.0296,9134
8,145.732,36.4178,1365.79,52.0145,13399
8,146.775,27.261,1807.63,50.7893,24997
8,145.841,27.1994,1479.47,49.443,24647
8,140.433,33.8814,1265.78,49.0612,20999
8,143.181,31.3726,1275.68,51.1326,3596
8,153.716,35.0884,1281.78,49.4074,20442
8,139.103,35.9681,889.853,50.0895,21736
8,144.271,32.5155,1299.03,49.5431,1048
9,148.109,31.1496,1377.99,50.025,26037
9,144.37,46.5581,1297.21,49.0434,25287
9,141.807,32.627,1611.55,50.0969,23464
9,143.604,30.5712,1091.3,49.8059,15
9,143.704,31.528,1466.29,50.2363,26009
9,141.142,24.0326,1082.76,50.611,25449
9,144.037,39.043,1083.42,49.6398,20634
9,133.883,31.5837,1184.66,49.7662,22694
9,142.787,43.5784,1341.48,51.4416,25010
9,147.429,29.5605,1182.27,52.5481,17215
9,146.239,38.8539,1296.64,49.5342,19087
9,144.271,32.5155,1321.88,50.2402,23218
9,137.475,37.5532,1403.88,55.1026,124
9,149.33,31.1496,1377.99,50.025,26037
9,138.784,29.8574,1400.68,49.8416,15546
9,135.565,40.2198,1281.49,49.0523,2798
9,139.077,32.0496,1421.93,52.0948,20555
9,150.026,39.3334,1654.17,50.4245,24498
9,143.266,30.4039,1036.06,51.3188,23379
9,139.084,35.2954,1189.99,49.8272,5437
10,146.8,31.8325,984.74,50.1326,26984
10,137.329,48.0475,1190.03,49.587,25245
10,136.951,31.3388,1422.14,48.2413,22079
10,146.058,37.364,1538.66,50.7333,13073
10,139.077,32.0496,1582.66,49.866,15545
10,148.109,31.1496,1377.99,50.025,26037
10,149.678,24.1889,1516.08,50.2248,16985
10,140.611,31.9271,1372.01,47.46,18557
10,138.781,38.3631,1397.07,46.1642,5
10,138.203,40.0485,944.317,50.8409,2936
10,146.429,37.7768,1261.7,50.4329,22989
10,148.765,40.153,1207.03,50.6719,39
10,143.402,36.8231,1390.94,52.5638,16330
10,141.69,34.5578,1082.4,49.3371,21
10,144.348,30.5981,1411.41,50.8029,23600
10,132.365,41.6714,1190.01,49.7071,1113
10,143.647,20.0984,1181.37,54.3265,8
10,147.479,35.3233,1177.86,50.8219,20029
10,140.537,39.2257,1113.05,50.4529,19330
10,149.885,27.7109,726.918,52.5742,18666
11,145.266,40.5693,1160.54,46.6722,37657
11,141.276,22.7725,1177.86,46.596,6
11,141.713,41.6267,1008.31,50.3344,305
11,144.481,29.8802,1154.79,51.6112,23717
11,146.8,31.8325,984.74,50.1326,26984
11,157.506,36.5501,1219.78,51.5975,9216
11,145.144,28.058,1772.57,48.8424,22968
11,149.609,40.9857,1114.04,50.966,40
11,149.187,40.5693,1160.54,46.6722,30861
11,138.352,39.1731,1092.66,48.5526,21560
11,155.007,40.3089,1052.43,48.7565,22982
11,150.718,39.0429,970.481,49.5947,2165
11,145.913,32.9607,1294.63,48.5469,24398
11,147.994,36.2009,1024.26,48.4024,16281
11,147.55,44.96,1227.59,44.2316,8
11,144.862,32.816,660.272,48.5626,15139
11,145.59,36.765,1227.59,47.9723,10731
11,152.043,35.5291,1048.89,50.2927,24731
11,146.878,26.6567,1028.6,50.3136,18149
11,137.137,35.0946,1103.61,50.1839,15341
12,145.266,40.5693,1160.54,46.6722,37657
12,145.367,25.7214,1500.08,51.5971,19361
12,139.018,36.2009,596.885,48.4024,426
12,149.422,40.0112,1016.82,50.2127,497
12,137.515,33.6808,1016.82,50.2127,25793
12,136.389,24.1051,1171.76,49.4198,4847
12,150.298,35.6337,1140.01,48.3644,24266
12,151.417,29.2053,1032.86,50.2527,555
12,146.396,29.8087,889.658,49.4302,22292
12,145.64,29.3411,1397.36,49.5351,4252
12,140.527,38.1015,1108.33,49.8643,16272
12,141.39,37.1251,1567.74,43.7566,772
12,156.796,38.3851,1092.4,47.5373,21143
12,135.43,36.9151,1128.09,50.8601,22591
12,144.216,29.8171,1340.69,51.9118,4861
12,141.894,30.5101,1149.93,50.14,12161
12,143.083,46.1496,1252.84,49.6997,22537
12,149.461,31.0929,1092.13,50.3032,26905
12,147.755,38.6213,1172.49,50.0014,16516
12,145.453,34.9552,1278.95,43.2687,5477
13,145.266,40.5693,1160.54,46.6722,37657
13,147.181,30.217,1244.74,49.9191,3516
13,142.635,36.151,719.936,48.5915,19714
13,149.94,29.5628,1172.62,50.4693,597
13,147.076,22.6732,1378.94,49.7158,223
13,148.347,32.7212,1014.83,53.2158,839
13,153.128,31.6464,1092.26,46.987,6487
13,145.453,34.9552,1278.95,45.4262,3806
13,146.272,38.6213,1172.49,48.5863,23933
13,151.893,36.7882,1225.72,46.6351,7486
13,150.677,42.9269,1158.92,48.4691,23066
13,154.345,37.5867,1067.19,47.0862,25927
13,143.674,41.7379,1214.44,47.7831,15
13,159.08,28.4324,1172.49,49.2938,1296
13,148.49,36.8689,893.562,52.6233,11810
13,150.677,42.9269,1354.5,48.4691,23645
13,145.055,37.6363,906.034,49.4473,8621
13,149.715,46.812,1086.25,45.0199,23024
13,148.735,42.7167,1129.37,45.5532,19851
13,148.065,39.0316,1316.72,46.5503,19850
14,145.266,40.5693,1160.54,46.6722,37657
14,150.849,40.7741,843.996,48.5277,1522
14,137.369,39.539,1049.85,48.6156,17732
14,147.866,40.2816,967.628,48.5508,22849
14,149.976,29.771,1136.25,51.1695,6879
14,150.188,41.7481,1257.52,43.9434,6
14,141.82,40.4189,1111.17,47.596,25873
14,147.971,41.7481,1257.52,50.3239,13331
14,146.665,39.8005,1388.68,46.6113,8
14,144.638,44.7644,1107.81,46.8934,2
14,147.001,41.643,1144.95,50.5203,2939
14,150.673,39.6148,1294.76,48.8033,17556
14,147.621,35.1702,1148.39,46.0771,3
14,146.46,37.8218,936.831,48.9991,24606
14,149.706,43.2317,1241.94,48.8781,24280
14,145.839,43.6155,1098.71,46.3079,456
14,138.542,29.8215,1033.1,48.3911,24063
14,158.316,41.9005,1201.24,47.7752,183
14,142.617,39.9103,1008.74,51.295,1930
14,140.181,32.0796,1227.99,47.9935,17773
15,145.266,40.5693,1160.54,46.6722,37657
15,143.591,39.7277,1186.47,49.2569,14876
15,144.024,36.1806,899.59,48.2722,24032
15,142.706,28.5534,1270.48,43.8769,65
15,144.907,41.2349,1180.89,47.2237,542
15,143.807,39.0577,1043.03,48.7645,22768
15,146.15,47.0815,1174.7,47.6535,7370
15,143.699,39.3927,1114.75,51.4465,1797
15,145.134,40.7682,989.931,48.8818,13352
15,139.29,39.7062,1070.76,48.5751,25089
15,134.591,37.6192,971.311,48.5184,5277
15,139.567,40.1485,1173.5,47.9646,21590
15,145.266,40.5693,790.948,46.6722,4
15,130.195,39.9381,1380.76,48.6108,15651
15,145.843,39.3819,1056.9,48.6698,20344
15,145.086,43.1859,1170.71,45.7918,3999
15,139.091,38.6734,1078.89,45.6526,459
15,142.705,39.7652,1376.31,43.5883,805
15,144.024,27.3248,899.59,48.2722,20134
15,138.075,39.3819,713.772,53.1466,4373
16,145.266,40.5693,1160.54,46.6722,37657
16,141.449,38.8656,1060.96,47.9388,24010
16,141.049,37.7813,806.681,49.1832,20717
16,141.891,40.4584,1081.72,48.4232,22326
16,142.672,39.9273,1189.48,48.2699,18557
16,139.928,41.1544,1065.92,42.7425,23445
16,142.278,40.1377,832.347,47.6237,12
16,146.713,40.1673,1268.42,45.1303,253
16,132.171,40.2537,1270.65,47.6415,15942
16,145.266,40.5693,1127.3,46.6722,5
16,154.49,33.7367,1036.55,48.1184,908
16,140.308,38.9649,792.025,48.5739,24454
16,129.304,39.3819,713.772,53.1466,10
16,138.019,39.66,1218.83,47.6963,19823
16,142.736,33.0952,980.276,51.3927,25633
16,142.787,37.6219,976.281,47.623,26422
16,142.672,39.9273,1178.42,48.2699,22392
16,147.209,38.4301,1051.24,45.4305,18645
16,145.438,39.3882,1021.1,45.1828,8514
16,141.548,28.0263,884.153,47.0569,22194
17,145.266,40.5693,1160.54,46.6722,37657
17,141.1,39.7116,936.872,57.1806,10
17,140.378,21.4488,1099.55,49.5445,4220
17,148.887,30.2342,1130.04,48.1083,8995
17,149.22,38.9378,1123.46,45.3003,13945
17,144.379,40.2438,967.694,46.2437,2552
17,132.171,40.2537,1270.65,51.6074,124
17,143.759,38.6975,921.63,51.1333,22386
17,137.064,63.2669,921.63,47.0022,746
17,140.378,21.2229,1099.55,49.5445,4220
17,128.05,36.4622,1039.91,50.4686,25501
17,126.811,27.1591,1039.91,50.4686,63
17,168.707,39.3124,1050.02,49.7016,24408
17,145.384,52.8887,1003.81,46.1786,30
17,158.797,34.7733,1090.03,50.3494,26493
17,155.747,48.0288,1013.15,48.6623,24538
17,142.653,18.9404,902.892,49.0951,13216
17,134.214,42.4693,1069.73,50.0065,2635
17,146.489,38.8176,1022.55,53.8491,1094
17,152.643,27.1837,1856.29,52.0992,23300
18,145.266,40.5693,1160.54,46.6722,37657
18,143.429,56.5069,1463.01,51.0529,23925
18,178.142,32.5037,1740.82,49.2289,12727
18,128.05,36.4622,1039.91,55.953,8
18,161.68,14.7844,1005.83,50.7413,25039
18,143.041,15.1045,1182.95,50.074,21040
18,150.862,35.6456,1234.42,50.8971,20031
18,155.68,29.1264,976.458,43.3356,843
18,164.299,49.5827,1070.03,50.0255,44
18,150.919,24.9389,1933.06,50.2117,14035
18,178.556,32.1257,2251.74,49.0112,13928
18,143.041,37.7236,578.719,50.074,15162
18,138.628,44.3787,1126.34,50.0403,3782
18,140.826,36.3475,1706.14,52.448,115
18,153.473,27.6769,1434,48.7068,23960
18,142.567,25.8475,1501.4,50.1091,24589
18,147.947,29.1142,1037.78,50.3739,565
18,123.221,41.0512,852.53,50.0571,18395
18,142.804,6.64904,1040.06,50.0915,23454
18,147.145,40.1422,1348.71,57.0456,2672
19,145.266,40.5693,1160.54,46.6722,37657
19,160.591,35.1137,1907.72,55.2012,445
19,137.093,33.4189,808.251,50.224,20144
19,150.969,38.3484,1043.48,48.5247,8144
19,148.5,21.1473,2003.94,50.4943,19559
19,140.597,35.1131,617.444,48.5058,25570
19,141.947,49.8818,1143.44,48.3562,16680
19,160.99,21.6148,1347.31,46.6722,7
19,150.888,36.5884,1552.14,48.2864,24294
19,161.911,36.3475,1002.33,55.416,14971
19,147.035,7.89469,1025.72,48.6063,26485
19,123.967,5.95637,939.126,49.3317,24673
19,149.418,32.8513,1294.96,43.5494,7
19,135.86,31.0992,1474.33,46.4796,316
19,146.151,24.232,205.328,47.6393,0
19,136.233,13.5519,1020.36,49.913,412
19,147.09,6.14684,1645.87,52.8259,22391
19,154.546,12.2914,1955.83,46.9,5
19,134.616,23.2628,484.52,48.002,5
19,141.272,42.4974,1119.03,41.6531,16840
20,145.266,40.5693,1160.54,46.6722,37657
20,123.967,5.95637,939.126,39.9702,299
20,144.098,39.5429,1335.58,44.9697,7
20,148.077,38.5789,1356.34,54.6138,1221
20,182.447,36.3475,1002.33,55.416,460
20,147.556,47.8294,1191.03,43.1866,5
20,143.269,41.5334,1920.57,44.1627,15384
20,151.591,39.4225,1465.6,48.5346,10952
20,124.932,41.5334,1920.57,44.1627,80
20,138.753,28.0246,1267.49,45.7831,4954
20,139.256,9.12388,805.775,43.4351,14
20,136.011,23.8401,1057.13,48.4943,26013
20,137.382,2.70093,1162.31,47.1387,26715
20,141.272,42.4974,1119.03,34.4509,48
20,136.122,18.696,1191.44,49.2037,24438
20,142.79,24.8852,1237.68,48.1334,24634
20,146.178,23.3581,1220.52,58.4288,13
