Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,213.856,138.101,1969.12,70.5193,777
0,0.0229937,90.0308,7681.54,81.3381,60
0,97.5437,138.255,423.37,50.9282,0
0,36.7648,15.3663,5095.27,61.663,66
0,49.7031,214.171,325.418,8.8364,0
0,250.865,9.62368,6854.67,21.7909,1
0,147.302,50.0022,8070.61,96.6301,5
0,206.801,198.264,9773.4,11.8136,0
0,181.65,245.013,228.072,14.7833,0
0,62.9827,120.262,4473.02,56.7586,8
0,188.819,15.0377,1805.15,9.85892,4
0,160.725,164.792,8879.52,52.0926,4
0,149.828,194.385,7519.54,11.6466,2
0,67.2782,55.0914,81.7988,46.2534,0
0,106.623,162.663,6303.59,24.4993,0
0,151.989,178.163,9360.73,53.7923,3
0,175.181,243.001,5455.09,67.8336,2
0,23.6967,73.9267,4691.65,74.8716,14
0,227.432,93.3452,3322.33,51.0363,3
0,134.634,172.081,5826.63,27.0492,0
1,213.856,138.101,1969.12,70.5193,777
1,143.181,76.6461,1114.26,32.3503,0
1,180.49,151.447,5424.32,61.3059,4
1,128.049,35.0645,472.291,28.0562,0
1,125.564,83.6359,4278.31,62.954,1
1,84.8027,141.462,5286.95,40.6289,8
1,132.646,146.455,5355.64,50.9595,2
1,83.2862,134.156,6105.6,43.2591,2
1,135.398,83.6359,3642.44,62.954,2
1,130.481,83.6359,3530.03,62.954,2
1,159.316,93.5593,3815.89,18.454,1
1,125.157,146.455,5355.64,46.5379,2
1,148.571,136.129,4037.36,60.4837,1
1,79.5475,78.7813,3995.23,68.9128,42
1,118.396,160.746,6952.88,47.2106,5
1,101.599,155.171,6517.34,43.9198,3
1,169.3,141.761,3662.38,60.7394,1
1,113.234,105.401,3609.93,34.4404,1
1,132.94,83.6359,3586.23,66.4604,2
1,101.599,165.703,6517.34,47.3423,5
2,213.856,138.101,1969.12,70.5193,777
2,97.6691,151.104,5818.76,43.9198,3
2,163.477,161.483,5172.12,53.9219,2
2,130.458,124.365,5623.85,31.1869,0
2,119.843,156.079,5936.49,46.9401,6
2,114.059,107.455,4016.3,63.8191,4
2,186.586,105.087,3060.93,48.7285,66
2,101.588,119.764,5474.06,58.0617,2
2,79.5475,78.7813,3995.23,68.0857,42
2,154.019,108.441,2982.18,69.3025,7
2,181.918,149.792,3570.62,62.2206,10
2,101.599,159.439,6517.34,47.3423,4
2,155.763,144.603,3893.94,56.3225,3
2,89.8737,99.2725,4734.64,63.0737,3
2,141.68,124.608,3507.66,62.2793,4
2,142.128,128.096,4439.85,42.1772,6
2,181.918,159.905,3570.62,62.2206,6
2,121.639,145.155,5012.5,53.1691,3
2,139.793,150.448,4694.69,55.7422,2
2,125.844,129.773,4400.47,55.0033,3
3,159.498,130.011,3021.53,68.3969,1780
3,148.073,118.268,3723.22,55.7398,2
3,79.5475,78.7813,3995.23,67.3827,41
3,167.968,136.842,3637.34,67.8935,5
3,171.592,161.206,3570.62,62.2206,14
