Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,201.776,201.22,2250.44,31.5073,770
0,104.086,79.0951,9277.92,67.0366,55
0,5.97739,247.234,12919.7,11.8232,24
0,244.002,251.152,14417.2,46.3513,62
0,185.733,72.876,7846.64,25.4724,48
0,221.662,76.2048,6623.29,91.4106,43
0,205.526,231.925,5789.3,29.0284,49
0,41.6302,229.295,12266.9,65.4385,45
0,96.2869,221.942,10101.6,56.337,43
0,229.83,76.9527,4539.08,77.8546,587
1,193.755,137.048,5571.73,28.4898,3455
1,201.776,201.22,2250.44,31.5073,770
1,152.931,140.158,5384.39,49.2719,49
1,103.877,232.27,7585.07,21.6653,340
1,220.909,226.186,8215.35,38.9293,167
1,211.719,138.712,4436.86,66.1921,40
1,203.651,207.074,4019.87,25.3915,44
1,121.703,215.257,7947.84,48.4729,66
1,149.031,211.581,6176.01,39.7787,44
1,215.803,139.086,3929.7,54.6809,98
2,198.703,172.061,4610.03,26.9407,3732
2,197.765,168.943,3911.08,26.5178,686
2,173.343,138.603,5478.06,43.0887,44
2,138.203,184.659,6578.4,25.0775,41
2,207.332,181.617,7153.01,31.1062,1688
2,193.755,137.048,5571.73,28.4898,3455
2,202.737,137.88,5053.93,47.341,448
2,157.729,176.153,6759.79,42.1487,518
2,166.357,174.315,5873.87,34.1343,50
2,195.791,138.067,5052.89,41.5854,52
3,197.247,160.682,4831.46,32.286,3856
3,199.011,170.502,4597.96,26.7292,57
3,197.638,154.101,5044.04,35.0147,43
3,168.453,178.36,5594.21,28.1447,53
3,203.017,176.839,5881.52,25.0081,45
3,196.229,154.555,4741.19,27.7153,987
3,200.72,156.955,4468.76,37.1408,47
3,198.703,172.061,4610.03,26.9407,3732
3,178.216,186.496,5808.67,34.5447,1339
3,184.863,176.234,5241.95,30.5375,42
4,197.247,160.682,4831.46,32.286,3856
4,198.129,165.592,4714.71,28.5772,44
4,197.442,159.101,4937.75,33.6503,52
4,176.294,169.521,4956.07,30.2153,60
4,200.132,168.76,5941.67,28.6471,2439
4,196.738,157.618,4390.77,30.0006,68
4,206.471,158.818,4650.11,34.7134,87
4,197.975,164.782,4720.75,34.2939,122
4,187.731,173.589,5671.15,33.4153,49
4,185.994,168.458,5036.71,31.4117,48
5,197.247,160.682,4831.46,32.286,3856
5,197.688,170.827,4773.09,34.1705,71
5,192.598,159.891,4884.61,32.9681,45
5,189.338,173.009,4893.77,31.2506,62
5,198.689,164.92,5386.56,30.4665,53
5,196.992,159.15,4611.11,27.2349,246
5,192.587,159.75,4740.79,29.2451,47
5,197.611,162.732,4124.74,33.29,46
5,192.489,167.135,5251.31,28.3626,50
5,191.62,166.606,4934.08,31.5113,57
6,197.247,160.682,4831.46,32.286,3856
6,197.467,165.755,4788.25,31.9154,51
6,194.922,160.286,4858.03,30.2234,601
6,202.563,166.846,4862.61,31.7835,48
6,197.968,162.801,5852.45,31.3762,39
6,197.119,172.203,4721.29,31.6625,40
6,194.917,150.066,4786.12,30.7655,48
6,202.736,170.963,4478.1,32.788,43
6,194.868,175.692,5074.53,30.3243,58
6,197.25,163.644,4882.77,31.8986,43
7,197.247,160.682,4831.46,32.286,3856
7,197.161,163.218,4060.15,32.5002,43
7,196.085,160.484,5133.24,31.2547,45
7,199.905,163.764,4847.04,27.5986,39
7,197.607,170.531,5061.24,31.8311,38
7,209.285,166.442,4776.38,31.9742,40
7,196.082,148.182,4808.79,31.5257,100
7,199.991,165.822,4264.19,32.537,55
7,196.057,168.187,4953,30.2055,62
7,197.249,162.163,5504.94,32.0923,37
8,197.247,160.682,4831.46,32.286,3856
8,188.837,173.042,4445.81,32.3931,41
8,200.49,160.583,4982.35,28.7733,57
8,198.576,157.244,4839.25,29.9423,53
8,197.427,162.449,4946.35,32.0585,36
