Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,164.862,76.7126,1026.75,46.9759,3757
0,146.919,146.639,1584.77,68.6244,76
0,175.472,168.99,5832.46,8.77855,29
0,136.107,96.4736,989.148,7.86539,263
0,3.65756,178.339,7007.08,12.7911,38
0,68.9134,248.128,6412.14,49.255,42
0,139.475,128.658,2523.19,34.7287,3655
0,92.1478,28.1883,7457.36,60.3772,49
0,7.26708,76.087,3060.88,18.6805,983
0,249.313,251.263,7085.76,8.2467,52
1,164.862,76.7126,1026.75,46.9759,3757
1,155.89,111.676,1194.99,57.8001,3031
1,170.167,115.945,3429.61,27.8772,61
1,141.475,86.5931,1007.95,27.4206,6
1,84.2596,127.526,3620.09,26.2463,309
1,116.888,168.019,3719.45,44.2707,303
1,152.169,102.685,1774.97,45.0834,254
1,128.505,52.4505,4631.15,53.6765,33
1,86.0644,76.3998,2078.37,30.3499,38
1,207.087,163.988,4555.35,27.6113,50
2,164.862,76.7126,1026.75,46.9759,3757
2,160.376,105.777,1110.87,56.0501,38
2,167.514,96.329,2228.18,33.6514,36
2,152.734,81.6529,1017.35,37.1982,2037
2,124.561,102.119,2170.24,38.7345,3278
2,140.875,131.267,2023.71,45.6233,181
2,151.968,89.699,1180.32,46.0296,1844
2,146.683,64.5815,2828.95,48.1031,147
2,133.64,76.5562,1552.56,38.6629,3380
2,185.975,120.35,2637.36,37.2936,34
3,164.862,76.7126,1026.75,46.9759,3757
3,162.619,91.2446,989.891,51.513,2096
3,158.94,89.9953,1627.47,40.3136,978
3,158.798,79.1828,1022.05,46.3209,133
3,144.711,89.4159,2009.36,42.428,307
3,152.868,103.99,1902.81,46.2996,28
3,158.415,83.2058,1565.3,46.5028,38
3,155.772,79.9409,1927.85,47.5395,34
3,146.662,76.6344,1289.66,42.8194,734
3,175.418,98.5314,1832.06,44.7268,50
4,158.865,90.7212,1095.52,46.6377,9508
4,163.74,83.9786,1406.71,53.5436,127
4,161.901,70.8484,1327.11,43.6448,23
4,159.016,77.9477,1024.4,46.6484,59
4,162.76,83.0643,1351.2,44.7019,1619
4,167.081,79.9592,1296.03,46.7393,1620
4,160.317,78.3268,1477.3,43.9076,167
4,164.862,76.7126,1026.75,46.9759,3757
4,155.762,76.6735,1315.87,44.8976,153
4,178.882,87.622,1429.41,45.8514,3835
5,158.865,90.7212,1095.52,46.6377,9508
5,161.303,100.011,1251.11,54.599,436
5,163.37,80.7848,1211.31,45.1412,23
5,166.053,84.3345,1059.96,46.6431,7
5,160.812,77.7706,1223.36,45.6698,179
5,152.696,85.3402,1195.77,48.2901,1540
5,162.561,84.524,1286.41,43.0813,14
5,161.863,83.7169,1440.65,46.8068,203
