Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,153.151,169.932,3361.18,30.2629,22339
0,115.419,57.042,2621.57,20.9837,3
0,229.443,227.325,9400.46,98.7402,8747
0,130.14,195.018,8389.25,21.7255,14
0,147.65,155.654,664.576,98.0325,947
0,204.373,133.874,2935.98,6.56945,27
0,178.616,251.917,9110.49,90.3188,985
0,97.1099,241.367,48.9105,65.7942,0
0,207.039,30.4317,1072.3,6.56837,7
0,180.12,85.997,7250.3,56.4024,51
0,143.398,210.977,4484.77,50.352,143
0,87.3159,205.117,8756.52,33.0305,967
0,59.3585,63.1125,3052.72,75.5345,10
0,116.301,113.6,1584.58,8.40075,1488
0,254.001,144.029,5705.96,86.2015,6898
0,253.645,6.80348,2950.35,86.055,16491
0,97.5417,85.3025,7084.19,95.4476,71
0,246.978,9.15942,8599.01,43.1722,10041
0,235.301,212.487,5694.51,11.6708,10110
0,92.4246,137.253,1686.02,51.3697,412
1,245.15,109.645,4223.34,44.4411,22341
1,246.978,9.15942,8599.01,41.355,16821
1,153.151,169.932,3361.18,30.2629,22339
1,255,6.80348,2950.35,86.055,14431
1,191.475,184.071,3330.58,56.6564,1
1,200.825,149.842,3339.68,92.117,13463
1,240.95,110.823,7305.95,27.4215,200
1,176.988,159.887,3350.43,61.011,371
1,168.165,163.043,3639.55,10.0358,709
1,203.022,84.9234,3735.67,48.0454,3806
1,245.15,109.645,4223.34,48.8629,2653
1,213.207,142.077,5472.75,18.7286,169
1,245.15,109.645,4223.34,46.3778,16239
1,247.167,9.15942,8806.2,43.1722,3867
1,227.413,147.602,4931.11,86.1501,3160
1,245.15,107.576,4223.34,45.4094,19
1,220.456,139.325,4715.09,29.8581,1
1,232.438,138.495,4931.11,88.9549,354
1,233.869,175.491,5312.81,48.4735,144
1,168.787,122.763,2954.68,52.8253,3591
2,250.075,57.1896,3447.14,65.7322,25185
2,224.176,144.168,3983.8,90.5359,1865
2,236.282,128.624,4910.57,67.5065,13614
2,211.284,108.538,3398.79,65.1991,19040
2,240.716,119.134,4566.96,57.5471,16769
2,207.666,86.1014,6124.11,26.604,5085
2,201.603,89.9763,3200.91,59.2787,20605
2,237.125,100.679,3715.47,74.9123,7
2,237.461,71.0565,3591.4,56.8888,2411
2,255,59.4024,6514.77,46.0175,20650
2,234.064,123.789,4749.03,71.8486,11133
2,224.372,89.7973,3495.09,60.864,14877
2,245.15,109.645,4223.34,44.4411,22341
2,245.993,33.1745,6126.67,58.7349,22300
2,217.834,106.883,3604.43,65.5637,1478
2,211.894,91.0827,4734.73,48.3131,3462
2,196.58,103.122,3224.89,56.8447,405
2,237.224,73.4935,3111.55,61.0347,993
2,228.943,62.1286,5351.81,53.7222,12514
2,214.559,107.71,3501.61,67.9497,9689
3,252.538,54.5446,4980.96,55.8749,39156
3,228.943,62.1286,5550.16,53.7222,12644
3,250.075,57.1896,3447.14,65.7322,25185
3,209.719,98.4295,3402.67,62.8533,990
3,221.16,104.279,3883.93,58.4129,0
3,237.047,75.2592,4787.58,49.0816,4374
3,255,84.5238,5369.06,44.9469,10505
3,236.303,62.1286,4994.56,53.524,6746
3,239.607,116.717,4932.2,58.1448,0
3,227.993,95.7032,4486.74,56.9941,11
3,237.047,82.0172,4787.58,49.0816,3865
3,247.673,82.0949,4602.15,50.158,823
3,221.286,66.441,4675.78,57.7898,1
3,228.943,62.1286,5533.33,53.7222,10739
3,250.105,68.3197,4791.55,56.6082,0
3,251.306,55.8671,4055.62,60.8035,3460
3,247.968,83.3094,4985.6,47.5525,91
3,239.509,59.6591,4399.48,62.7254,6998
3,241.972,79.5717,5459.61,49.3346,2406
3,243.561,73.4041,4117.36,60.2692,32535
4,252.538,54.5446,4980.96,55.8749,39156
4,238.049,73.3262,5451.19,52.785,16704
4,233.496,67.7274,5301.68,53.2536,325
4,241.583,71.981,4929.54,56.03,2
4,240.546,65.8201,4497.08,59.3777,1494
4,234.226,60.8939,4966.4,60.3507,29282
4,242.054,79.1398,4691.13,59.8235,5537
4,243.561,73.4041,3844.92,60.2692,4
4,235.498,70.6342,4814.58,56.7728,1
4,232.995,74.3671,5160.45,48.4903,433
4,240.781,69.3995,4281.56,61.2744,5593
4,238.278,73.8856,4638.91,52.2279,21886
4,242.807,76.272,4404.25,57.2179,3953
4,247.434,71.951,4086.49,62.5438,16413
4,241.677,71.046,4450.66,54.7584,1
4,249.37,63.9091,3836.8,61.6737,1837
4,238.779,69.381,4925.33,62.3193,4
4,247.672,65.4083,5099.91,56.5464,67
4,240.543,74.3428,4521.58,56.494,4
4,236.538,73.4336,4996.41,56.5385,0
5,252.538,54.5446,4980.96,55.8749,39156
5,255,61.972,4631.26,58.5746,22224
5,242.43,77.7059,4547.69,57.1129,1
5,246.54,68.3791,4435.52,56.1844,3
5,234.226,60.8939,4966.4,57.3352,6294
5,235.637,74.1263,4899.68,51.5779,9842
5,243.824,68.8973,4417.3,56.9508,135
5,245.629,72.9711,4661.15,59.7473,20332
5,248.904,69.122,4517.75,62.5259,7235
5,238.517,61.9563,4685.32,57.2765,26696
5,247.892,77.0102,4658.49,53.5404,2
5,245.527,61.0811,4833.14,56.5757,1
5,247.955,66.1441,4136.16,63.6535,496
5,253.447,66.9615,3998.79,60.5592,2796
5,253.769,58.2583,4806.11,59.6251,11614
5,243.095,63.6823,4892.62,54.289,1
5,243.841,69.2515,4721.54,60.2801,6137
5,248.181,58.4933,4699.13,57.7453,1
5,241.487,76.0244,4534.63,58.3516,0
5,253.634,64.3354,4940.32,51.1316,148
6,252.538,54.5446,4980.96,55.8749,39156
6,253.769,58.2583,4806.11,57.9812,1
6,250.701,66.5528,4067.48,66.5883,1257
6,243.998,57.3432,4886.25,58.4801,5
6,253.153,56.4014,4893.53,57.3004,0
6,248.722,71.1656,4442.52,55.9258,2
6,237.187,67.6978,4428.85,62.119,15590
6,248.816,71.0687,4913.29,54.8059,323
6,248.738,66.7935,4830.93,51.4451,19381
6,244.862,61.1212,4704.91,60.3721,2680
6,255,69.0151,4456.04,57.6825,191
6,239.261,59.2322,4438.93,59.4261,4932
6,246.515,69.6608,4622.52,59.5256,21552
6,247.619,70.4692,4532.52,57.7257,13318
6,249.931,65.0681,4580.47,54.7165,0
6,237.948,55.9439,4933.61,57.1775,3
6,248.178,68.6313,4681.73,55.2138,2
6,241.405,55.5942,4819.26,58.7748,1
6,246.241,69.6466,4618.71,59.0489,7724
6,247.489,68.22,4954.67,55.247,2720
7,252.538,54.5446,4980.96,55.8749,39156
7,255,61.1212,4986.05,58.9969,36283
7,249.389,62.0956,4799.83,61.8876,7892
7,232.78,68.6722,4523.78,60.584,4453
7,249.102,66.5821,4856.56,54.2017,1
7,246.865,68.9333,4505.35,57.148,0
7,251.309,61.0731,5211.95,60.979,12
7,236.021,63.9522,4481.36,58.717,0
7,255,69.1389,4650.22,57.1313,14939
7,244.53,62.5069,5238.64,56.8003,3916
7,251.309,69.8041,4591.37,55.9753,4596
7,242.659,61.6084,4752.37,56.3139,1
7,242.094,62.7952,4776.16,58.5004,0
7,252.195,61.6084,4892.94,65.1022,18810
7,251.923,69.0219,5096.45,53.801,7455
7,245.243,55.2442,4957.28,58.2053,1
7,245.419,75.3329,4224.9,56.15,2538
7,248.775,80.2977,4605.04,57.5121,2
7,245.561,58.0765,4866.66,56.0944,365
7,248.978,64.9387,4602.93,56.9633,8
8,252.538,54.5446,4980.96,55.8749,39156
8,244.216,63.0059,4907.44,55.3747,280
8,232.78,68.6722,4911.82,60.584,558
8,251.86,65.8229,4944.43,56.9658,12
8,255,69.0804,4873.34,55.4662,0
8,247.27,61.5076,4709.35,53.968,31
8,238.655,65.5895,5045.93,58.6921,240
8,244.518,72.0025,4568.36,58.367,1
8,238.225,65.7644,5167.55,55.3006,246
8,255,54.5446,4980.96,51.8524,3098
8,248.377,49.0345,4711.22,53.7121,3
8,238.225,65.7644,5167.55,59.0147,17479
8,242.644,63.9723,4755.19,56.169,14
8,249.904,58.0261,5006.23,52.0953,2
8,241.893,55.369,5017.1,56.0514,530
8,240.025,65.0899,4868.96,57.276,5
8,255,60.1545,5074.25,53.5765,10917
8,245.381,60.1545,5478.01,55.5878,0
8,240.025,65.0899,4750.91,57.276,1
8,246.748,68.4706,4531.21,57.6651,15
9,252.538,54.5446,4980.96,55.8749,39156
9,233.367,44.6539,5060.09,56.1343,1
9,251.896,57.7617,5221.57,54.8139,247
9,248.447,57.7617,5045.68,46.2023,287
9,240.274,60.4793,4313.72,57.3718,8
9,236.02,44.8904,5167.55,59.0147,33755
9,241.384,56.6805,4951.77,58.3399,3
9,255,54.9568,4999.03,55.9631,118
9,253.769,67.6792,4980.96,53.8636,2
9,245.51,52.5224,5120.9,54.9875,2
9,245.96,61.4258,5144.61,56.045,81
9,242.014,60.3264,4853.48,52.0275,15754
9,255,56.9741,5132.75,49.7633,5951
9,255,52.5224,5120.9,56.2956,0
9,234.302,56.1715,5074.93,61.7125,14943
9,235.954,59.0441,5037.52,53.4207,0
9,238.158,58.249,4964.2,57.3726,1
9,249.643,61.5076,4143.51,56.77,1
9,247.203,39.6024,5095.14,51.1236,2439
9,255,55.1421,5083.29,50.5949,13957
10,252.538,54.5446,4980.96,55.8749,39156
10,248.507,45.089,4993.12,50.8954,949
10,240.022,56.0581,5108.02,50.1791,4
10,245.51,50.9322,6149.12,54.389,2
10,244.279,49.7175,6067.73,57.4448,6
10,234.302,56.1715,4093.86,61.7125,4843
10,241.384,75.2061,4951.77,58.3399,0
10,240.753,47.887,5085.04,49.6805,4
10,239.29,29.3756,5571.33,59.5786,7538
10,247.276,57.4355,5825.69,53.9512,2912
10,240.652,52.0622,5212.41,55.8031,9433
10,255,54.8433,5032.12,53.2349,1273
10,244.651,82.0061,5103.84,55.7379,8492
10,255,54.9927,5908.79,51.9149,6
10,244.279,49.7175,6067.73,59.446,21385
10,250.084,50.6303,4543.49,56.304,1
10,255,40.0844,5549.93,56.3405,370
10,252.098,54.5446,4980.96,55.8749,39156
10,244.389,54.6939,5006.54,54.5549,267
10,255,55.0674,4526.75,51.2549,2
11,252.538,54.5446,4980.96,55.8749,39156
11,249.639,27.8499,5808.83,50.3226,14527
11,242.205,44.8485,5057.28,52.367,8262
11,247.371,49.6966,5019.12,49.9287,28139
11,253.769,54.806,4753.85,51.758,0
11,244.788,47.2726,4097.38,51.1478,10510
11,248.458,23.172,5817.26,52.1369,34
11,249.825,68.4247,5067.98,46.7591,205
11,242.72,49.6674,3986.78,53.4754,2
11,249.471,38.7732,5413.98,50.1257,17508
11,245.146,39.956,4927.35,53.0628,1
11,251.005,46.6589,5197.47,51.1423,9850
11,253.549,54.806,4400.92,44.9087,0
11,247.052,71.0762,5567.86,49.896,828
11,224.512,43.3075,5062.41,52.1026,16421
11,251.186,44.8905,4754.66,53.1346,3
11,244.886,60.3718,4777.32,51.977,12092
11,232.544,25.511,5813.05,51.2298,16994
11,244.788,57.9037,5038.2,51.1478,10486
11,243.242,50.6056,5050.3,44.1255,370
12,252.538,54.5446,4980.96,55.8749,39156
12,234.699,46.5559,4919.86,52.0398,24740
12,247.755,47.1241,5740.83,51.0165,17682
12,241.774,15.9169,5505.26,51.186,354
12,232.441,52.5139,5389.51,51.0821,3250
12,231.619,59.1202,5401.75,50.6039,17814
12,234.577,38.2971,5437.73,51.7415,16441
12,253.3,35.2007,5283.85,52.1822,1214
12,248.663,56.2241,5806.46,43.7854,69
12,238.525,48.926,4923.98,61.5039,3259
12,255,47.7862,5030.59,52.0796,19172
12,241.166,42.7106,5312.85,57.589,3
12,222.683,58.816,5243.86,50.9679,8
12,237.61,56.6803,5112.41,48.8422,16311
