Generation,RedPheromoneIntensity,GreenPheromoneIntensity,TIMEOUT,PHEROMONE_EVAPORATION,Fitness Score
0,207.548,55.4065,1314.43,44.6887,10850
0,8.74587,109.773,3777.64,7.50856,29
0,212.426,245.74,753.418,44.3453,45
0,164.877,196.592,6369.66,90.2854,304
0,96.6353,54.9215,4421.81,33.0583,51
0,68.6441,114.634,2752.33,48.3252,44
0,72.1303,133.375,4039.15,63.8349,68
0,42.3917,58.2627,3928,41.1286,53
0,38.1141,116.552,9350.06,76.9264,40
0,105.316,190.478,9083.77,12.3298,55
0,121.492,106.22,4511.92,41.2187,56
0,22.3598,184.832,6761.6,36.0684,39
0,63.6021,59.7777,5369.39,67.4511,43
0,138.894,88.5254,265.915,21.0646,0
0,9.5052,251.403,2174.72,50.9417,168
0,16.5065,18.005,8168.59,74.8846,67
0,36.83,74.99,9597.89,68.8501,49
0,31.3573,212.893,5079.5,83.1584,30
0,195.694,139.267,847.529,56.9421,0
0,151.418,198.381,4531.08,78.8853,68
0,110.523,35.9935,2207.7,93.0631,37
0,36.9099,130.334,2235.7,75.002,96
0,46.6763,181.39,7505.01,80.2869,47
0,114.318,200.549,722.614,93.8469,76
0,175.558,20.2217,578.023,80.5198,0
0,185.559,151.072,4184.32,40.8778,4727
0,215.165,96.0788,2208.98,64.3237,308
0,179.231,73.9011,1769.54,31.2891,32
0,180.266,24.9666,512.545,40.3788,0
0,189.959,93.2351,4818.31,61.9181,41
1,207.548,55.4065,1314.43,44.6887,10850
1,108.147,82.5899,2546.03,29.033,65
1,209.987,150.573,1033.92,43.4205,435
1,187.386,125.999,3814.04,67.487,131
1,152.092,55.164,2480.25,38.8735,33
1,138.096,91.5641,2033.38,46.5069,68
1,145.91,94.3908,2676.79,54.2618,249
1,124.97,56.8346,2621.22,43.8133,48
1,122.831,85.9793,5332.24,64.8471,34
1,156.432,134.652,5199.1,28.5093,40
1,156.996,80.8135,2913.17,42.9537,345
1,110.233,120.119,3661.14,40.3785,56
